county1,county2,county3,city,precinct,election_date,issue,result,for_vote,against_vote,status_before,status_current,status_before_detail,status_current_detail,fiscal_year,jurid,issue.clean,prohibitory,beer.wine,mixed.beverges,all.alocohol,off.premise,on.premise,cert
Collin,NA,NA,Murphy,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only.,passed,1070,618,dry,wet,NA,wet for the sale of beer,2007,Collin___Murphy_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Collin,Dallas,NA,Richardson,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only.,passed,6817,3224,wet,wet,wet in part for the sale of beer and wine for off-premises consumption,wet throughout for the sale of beer and wine for off-premises consumption,2007,Collin_Dallas__Richardson_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Cooke,NA,NA,Callisburg,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only.,failed,41,81,dry,dry,NA,NA,2007,Cooke___Callisburg_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Dallas,NA,NA,Cockrell Hill,NA,7-Nov-06,"legal sale of all alcoholic beverages, including mixed beverages.",failed,200,222,dry,dry,NA,NA,2007,Dallas___Cockrell Hill_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Dallas,NA,NA,Irving,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only.,failed,13561,14996,dry,dry,NA,NA,2007,Dallas___Irving_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Dallas,NA,NA,Lancaster,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only.,failed,2625,3801,dry,dry,NA,NA,2007,Dallas___Lancaster_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Dallas,Denton,NA,Coppell,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only.,passed,6817,3224,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption.,2007,Dallas_Denton__Coppell_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Dallas,Denton,NA,Coppell,NA,7-Nov-06,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,7749,2254,dry,wet,NA,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders.,2007,Dallas_Denton__Coppell_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Dallas,Ellis,NA,Glenn Heights,NA,7-Nov-06,legal sale of all alcoholic beverages for off- premises consumption only.,failed,607,894,dry,dry,NA,NA,2007,Dallas_Ellis__Glenn Heights_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Dallas,Ellis,NA,Glenn Heights,NA,7-Nov-06,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,929,549,dry,wet,NA,â€œwetâ€ for the sale of mixed beverages in restaurants by food and beverage certificate holders.,2007,Dallas_Ellis__Glenn Heights_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Denton,NA,NA,Denton,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only.,passed,9316,4621,wet,wet,wet in part for the sale of beer and wine for off-premises consumption,wet throughout for the sale of beer and wine for off-premises consumption.,2007,Denton___Denton_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,NA,NA,Denton,NA,7-Nov-06,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,8599,5284,dry,wet,NA,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders only.,2007,Denton___Denton_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Denton,NA,NA,Sanger,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only.,passed,567,430,dry,wet,NA,wet for the sale of beer and wine for off- premises consumption.,2007,Denton___Sanger_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Eastland,NA,NA,Cisco,NA,7-Nov-06,legal sale of beer and wine.,failed,399,546,dry,dry,NA,NA,2007,Eastland___Cisco_,legal sale of beer and wine,0,1,0,0,0,1,0
Hardeman,NA,NA,NA,NA,7-Nov-06,legal sale of all alcoholic beverages for off-premises consumption only.,passed,898,524,dry,wet,NA,wet for the sale of all alcoholic beverages for off-premises consumption,2007,Hardeman____,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Hardeman,NA,NA,NA,NA,7-Nov-06,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,878,528,dry,wet,NA,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders,2007,Hardeman____,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Harris,NA,NA,Deer park,NA,7-Nov-06,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,4162,1899,wet,wet,wet in part for the sale of mixed beverages,wet throughout for the sale of mixed beverages in restaurants by food and beverage certificate holders.,2007,Harris___Deer park_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Henderson,NA,NA,Payne Springs,NA,7-Nov-06,legal sale of all alcoholic beverages for off-premises consumption only.,failed,66,74,dry,dry,NA,NA,2007,Henderson___Payne Springs_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Hill,NA,NA,NA,Precinct 2,7-Nov-06,legal sale of wine by a holder of a winery permit.,passed,870,362,dry,wet,NA,wet for the sale of wine by a holder of a winery permit.,2007,Hill____Precinct 2,legal sale of wine by a holder of a winery permit,0,1,0,0,0,0,1
Hockley,NA,NA,Levelland,NA,7-Nov-06,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1372,1008,dry,wet,NA,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders.,2007,Hockley___Levelland_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Johnson,NA,NA,Rio Vista,NA,7-Nov-06,legal sale of all alcoholic beverages for off-premises consumption only.,failed,115,119,wet,wet,wet in part for the sale of beer and wine,wet throughout for the sale of beer and wine,2007,Johnson___Rio Vista_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Johnson,Tarrant,NA,Burleson,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only,passed,3165,2589,wet,wet,wet throughout for the sale of beer and wine for off-premises consumption,wet in part for the sale of beer and wine for off-premises consumption,2007,Johnson_Tarrant__Burleson_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Liberty,NA,NA,Cleveland,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only,passed,910,509,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption,2007,Liberty___Cleveland_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Liberty,NA,NA,Cleveland,NA,7-Nov-06,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,passed,944,473,dry,wet,NA,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders.,2007,Liberty___Cleveland_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Lubbock,NA,NA,Wolfforth,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only.,passed,545,385,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption,2007,Lubbock___Wolfforth_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
McCulloch,NA,NA,NA,NA,NA,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1204,628,dry,wet,NA,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders.,2007,McCulloch____,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Mitchell,NA,NA,NA,Precinct 2,7-Nov-06,legal sale of beer and wine,passed,349,248,wet,dry,all alcoholic beverages for off-premises consumption,wet for the sale of beer and wine for on-premise consumption,2007,Mitchell____Precinct 2,legal sale of beer and wine,0,1,0,0,0,1,0
San Patricio,NA,NA,Mathis,NA,7-Nov-06,legal sale of beer.,failed,374,520,dry,dry,dry for the sale of beer for on-premise consumption,dry for the sale of beer for on-premises consumption,2007,San Patricio___Mathis_,legal sale of beer,0,1,0,0,0,1,0
San Patricio,NA,NA,Odem,NA,7-Nov-06,legal sale of beer and wine for off-premises consumption only,passed,365,229,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption,2007,San Patricio___Odem_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Williamson,NA,NA,Hutto,NA,7-Nov-06,legal sale of beer and wine.,passed,801,257,dry,wet,NA,wet for the sale of beer and wine for both on and off-premises consumption.,2007,Williamson___Hutto_,legal sale of beer and wine,0,1,0,0,0,1,0
Williamson,NA,NA,Hutto,NA,7-Nov-06,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,776,241,dry,wet,NA,wet for the sale of mixed beverages in restaurants by food and beverage certificate holders.,2007,Williamson___Hutto_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Andrews,NA,NA,NA,NA,12-May-07,"legal sale of all alcoholic beverages, including mixed beverages.",failed,1451,1839,dry,dry,NA,NA,2007,Andrews____,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Bosque,NA,NA,Clifton,NA,12-May-07,legal sale of all alcoholic beverages including mixed beverages.,failed,282,284,dry,dry,NA,NA,2007,Bosque___Clifton_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Clay,NA,NA,Petrolia,NA,12-May-07,legal sale of beer and wine for off-premises consumption only.,passed,168,29,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption.,2007,Clay___Petrolia_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Comanche,NA,NA,Comanche,NA,12-May-07,legal sale of beer and wine for off-premises consumption only.,passed,294,289,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption.,2007,Comanche___Comanche_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,NA,NA,Bartonville,NA,12-May-07,legal sale of beer and wine for off-premises consumption only.,passed,138,58,wet,wet,wet in part for the sale of beer and wine for off-premises consumption,wet throughout for the sale of beer and wine for off-premises consumption,2007,Denton___Bartonville_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,NA,NA,Highland Village,NA,12-May-07,legal sale of beer and wine for off-premises consumption only.,passed,888,358,wet,wet,all alcoholic beverages including mixed beverages,"wet throughout for the sale of beer and wine for off-premises consumption and for the sale of mixed beverages in restaurants holding a food and beverage certificate. Those parts of the city that were wet for all alcoholic beverage sales, including mixed beverages, before the election retain that status.",2007,Denton___Highland Village_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,NA,NA,Highland Village,NA,12-May-07,legal sale of mixed beverages in restaurants for food and beverage certificate holders only.,passed,1029,234,wet,wet,all alcoholic beverages including mixed beverages,"wet throughout for the sale of beer and wine for off-premises consumption and for the sale of mixed beverages in restaurants holding a food and beverage certificate. Those parts of the city that were wet for all alcoholic beverage sales, including mixed beverages, before the election retain that status.",2007,Denton___Highland Village_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Denton,NA,NA,NA,Precinct 5,12-May-07,legal sale of beer and wine for off-premises consumption only.,passed,1550,1131,wet,wet,wet in part for the sale of beer and wine for off-premises consumption,wet throughout for the sale of beer and wine for off-premises consumption,2007,Denton____Precinct 5,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,NA,NA,NA,Precinct 5,12-May-07,legal sale of mixed beverages in restaurants for food and beverage certificate holders only.,passed,1696,1000,wet,wet,wet in part for the sale of mixed beverages in restaurants by food and beverage certificate holders,wet throughout  for the sale of mixed beverages in restaurants by food and beverage certificate holders,2007,Denton____Precinct 5,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Denton,NA,NA,Ponder,NA,12-May-07,legal sale of beer and wine for off-premises consumption only.,passed,114,105,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption only.,2007,Denton___Ponder_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,Tarrant,NA,Flower Mound,NA,12-May-07,legal sale of beer and wine for off-premises consumption only.,passed,1626,813,wet,wet,wet in part for the sale of beer and wine for off-premises consumption,wet throughout for the sale of beer and wine for off-premises consumption,2007,Denton_Tarrant__Flower Mound_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,Tarrant,NA,Flower Mound,NA,12-May-07,legal sale of mixed beverages in restaurants for food and beverage certificate holders only.,passed,1694,736,dry,wet,NA,wet for the sale of mixed beverages in restaurants holding a food and beverage certificate.,2007,Denton_Tarrant__Flower Mound_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Ellis,NA,NA,Garrett,NA,12-May-07,legal sale of all alcoholic beverages for off-premises consumption only.,passed,68,33,wet,wet,wet for the sale of beer for off-premises consumption,wet for the sale of all alcoholic beverages for off-premises consumption.,2007,Ellis___Garrett_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Erath,Hamilton,NA,Hico,NA,12-May-07,legal sale of all alcoholic beverages for off-premises consumption only.,failed,256,289,dry,dry,NA,NA,2007,Erath_Hamilton__Hico_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Freestone,Navarro,NA,Streetman,NA,12-May-07,legal sale of all alcoholic beverages for off-premises consumption.,passed,54,13,dry,wet,NA,wet for the sale of all alcoholic beverages for off-premises consumption.,2007,Freestone_Navarro__Streetman_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Gregg,NA,NA,Longview,NA,12-May-07,legal sale of beer and wine for off-premises consumption only.,failed,3354,3764,wet,wet,wet in part for the sale of beer and wine for off-premises consumption,wet in part for the sale of beer and wine for off-premises consumption,2007,Gregg___Longview_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Gregg,NA,NA,Longview,NA,12-May-07,legal sale of mixed beverages in restaurants for food and beverage certificate holders only.,passed,4136,2956,dry,wet,NA,wet for the sale of mixed beverages in restaurants holding food and beverage certificates,2007,Gregg___Longview_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Hood,Johnson,Parker,Cresson,NA,12-May-07,legal sale of beer and wine for off-premises consumption only,passed,44,26,wet,wet,wet in part for the sale of beer and wine for off-premises consumption,wet throughout for the sale of all alcoholic beverages for off-premises consumption.,2007,Hood_Johnson_Parker_Cresson_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Hood,Johnson,Parker,Cresson,NA,12-May-07,legal sale of mixed beverages in restaurants for food and beverage certificate holders only.,passed,47,23,wet,wet,wet in part for the sale of mixed beverages in restaurants,wet throughout for the sales of mixed beverages.,2007,Hood_Johnson_Parker_Cresson_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Llano,NA,NA,NA,Precinct 3,12-May-07,legal sale of beer and wine for off-premises consumption only.,passed,969,247,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption.,2007,Llano____Precinct 3,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Llano,NA,NA,NA,Precinct 3,12-May-07,legal sale of mixed beverages in restaurants for food and beverage certificate holders only.,passed,948,266,dry,wet,NA,wet for the sale of mixed beverages in restaurants holding food and beverage certificates.,2007,Llano____Precinct 3,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Lubbock,NA,NA,Village of Buffalo Springs,NA,12-May-07,legal sale of beer and wine.,passed,56,55,wet,wet,all alcoholic beverages for off-premises consumption only,also wet for the sale of beer and wine for on- premises consumption.,2007,Lubbock___Village of Buffalo Springs_,legal sale of beer and wine,0,1,0,0,0,1,0
Orange,NA,NA,Pinehurst,NA,12-May-07,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,179,45,wet,wet,sale of all alcoholic beverages,wet for the sale of mixed beverages in restaurants by holders for food and beverage certificates.,2007,Orange___Pinehurst_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Real,NA,NA,NA,Precinct 2,12-May-07,legal sale of beer and wine.,passed,310,143,dry,wet,NA,wet for the sale of beer and wine,2007,Real____Precinct 2,legal sale of beer and wine,0,1,0,0,0,1,0
Sherman,NA,NA,NA,NA,12-May-07,"legal sale of all alcoholic beverages, including mixed beverages",failed,247,250,dry,dry,NA,NA,2007,Sherman____,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Wise,NA,NA,Bridgeport,NA,12-May-07,legal sale of all alcoholic beverages including mixed beverages.,passed,271,109,dry,wet,NA,wet for the sale of all alcoholic beverages including mixed beverages.,2007,Wise___Bridgeport_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Angelina,NA,NA,Burke,NA,6-Nov-07,for or against the legal sale of beer and wine for off-premises consumption only.,failed,11,47,wet,dry,mixed beverages in restaurants and for the sale of beer and wine for off- premises consumption,wet only for the sale of mixed beverages in restaurants with food and beverage certificates,2008,Angelina___Burke_,for or against the legal sale of beer and wine for off-premises consumption only.,1,0,0,0,0,0,0
Angelina,NA,NA,Diboll,NA,6-Nov-07,for or against the legal sale of beer and wine for off-premises consumption only.,passed,201,138,wet,wet,mixed beverages in restaurants and for the sale of beer and wine for off- premises consumption,mixed beverages in restaurants and for the sale of beer and wine for off- premises consumption,2008,Angelina___Diboll_,for or against the legal sale of beer and wine for off-premises consumption only.,1,0,0,0,0,0,0
Angelina,NA,NA,Hudson,NA,6-Nov-07,for or against the legal sale of beer and wine for off-premises consumption only.,passed,243,199,wet,wet,mixed beverages in restaurants and for the sale of beer and wine for off- premises consumption,mixed beverages in restaurants and for the sale of beer and wine for off- premises consumption,2008,Angelina___Hudson_,for or against the legal sale of beer and wine for off-premises consumption only.,1,0,0,0,0,0,0
Angelina,NA,NA,Huntington,NA,6-Nov-07,for or against the legal sale of beer and wine for off-premises consumption only.,passed,167,116,wet,wet,mixed beverages in restaurants and for the sale of beer and wine for off- premises consumption,mixed beverages in restaurants and for the sale of beer and wine for off- premises consumption,2008,Angelina___Huntington_,for or against the legal sale of beer and wine for off-premises consumption only.,1,0,0,0,0,0,0
Angelina,NA,NA,Zavalla,NA,6-Nov-07,for or against the legal sale of beer and wine for off-premises consumption only.,passed,115,41,wet,wet,mixed beverages in restaurants and for the sale of beer and wine for off- premises consumption,mixed beverages in restaurants and for the sale of beer and wine for off- premises consumption,2008,Angelina___Zavalla_,for or against the legal sale of beer and wine for off-premises consumption only.,1,0,0,0,0,0,0
Bell,NA,NA,Village of Salado,NA,6-Nov-07,legal sale of beer and wine for off-premises consumption only.,passed,485,135,wet,wet,mixed beverages in restaurants with a food and beverage certificate,wet for the sale of beer and wine for off-premises consumption.,2008,Bell___Village of Salado_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Brazoria,NA,NA,NA,NA,6-Nov-07,legal sale of beer and wine for off-premises consumption only.,passed,15603,5856,wet,wet,wet in part for the sale of all alcoholic beverages,"wet throughout for the sale of all alcoholic beverages, including the sale of beer and wine for off-premises consumption",2008,Brazoria____,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Brazoria,NA,NA,NA,NA,6-Nov-07,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,15725,5777,wet,wet,wet in part for the sale of all alcoholic beverages,wet throughout for the sale of mixed beverages in restaurants by holders of a food and beverage certificate.,2008,Brazoria____,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Childress,NA,NA,NA,NA,6-Nov-07,"legal sale of all alcoholic beverages, including mixed beverages.",passed,789,782,wet,wet,all alcoholic beverages for off-premises consumption,"wet for the sale of all alcoholic beverages, including mixed beverages.",2008,Childress____,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Collin,NA,NA,Anna,NA,6-Nov-07,prohibit the legal sale of all alcoholic beverages for off-premises consumption only,failed,295,991,wet,wet,"all alcoholic beverages, including mixed beverages,","all alcoholic beverages, including mixed beverages,",2008,Collin___Anna_,prohibit the legal sale of all alcoholic beverages for off-premises consumption only,1,0,0,0,0,0,0
Collin,Hunt,Rockwall,Royse,NA,6-Nov-07,legal sale of beer and wine for off-premises consumption only.,passed,470,424,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption.,2008,Collin_Hunt_Rockwall_Royse_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Dallas,NA,NA,Cockrell Hill,NA,6-Nov-07,legal sale of all alcoholic beverages for off-premises consumption only.,passed,249,164,wet,wet,mixed beverages in restaurants with a food and beverage certificate,also wet for the sale of all alcoholic beverages for off-premises consumption.,2008,Dallas___Cockrell Hill_,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Dallas,NA,NA,Desoto,NA,6-Nov-07,legal sale of beer and wine for off-premises consumption only.,failed,2349,2743,dry,dry,NA,NA,2008,Dallas___Desoto_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Dallas,NA,NA,Desoto,NA,6-Nov-07,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,3176,1902,dry,wet,NA,wet for the sale of mixed beverages in restaurants with a food and beverage certificate.,2008,Dallas___Desoto_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Dallas,NA,NA,Duncanville,NA,6-Nov-07,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1383,904,wet,wet,beer and wine for off-premises consumption,wet for the sale of mixed beverages in restaurants with a food and beverage certificate.,2008,Dallas___Duncanville_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Dallas,Kaufman,NA,Mesquite,NA,6-Nov-07,legal sale of beer and wine for off-premises consumption only.,failed,5680,6482,dry,dry,NA,NA,2008,Dallas_Kaufman__Mesquite_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Dallas,Kaufman,NA,Mesquite,NA,6-Nov-07,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,7235,4866,dry,wet,NA,wet for the sale of mixed beverages in restaurants with a food and beverage certificate.,2008,Dallas_Kaufman__Mesquite_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Denton,NA,NA,Argyle,NA,6-Nov-07,legal sale of beer and wine for off-premises consumption only.,passed,415,119,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption.,2008,Denton___Argyle_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,NA,NA,Argyle,NA,6-Nov-07,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,466,152,dry,wet,NA,wet for the sale of mixed beverages in restaurants with a food and beverage certificate.,2008,Denton___Argyle_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Denton,NA,NA,Corral City,NA,6-Nov-07,"legal sale of all alcoholic beverages, including mixed beverages.",NA,19,0,wet,wet,all alcoholic beverages for off-premises consumption,"wet for the sale of all alcoholic beverages, including mixed beverages.",2008,Denton___Corral City_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Denton,NA,NA,NA,Precinct 6,6-Nov-07,legal sale of beer and wine for off-premises consumption only.,passed,1915,782,wet,wet,wet in part for the sale of beer and wine for off-premises consumption,wet throughout for the sale of beer and wine for off-premises consumption,2008,Denton____Precinct 6,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Denton,NA,NA,NA,Precinct 6,6-Nov-07,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,2077,629,wet,wet,wet in part for the sale of mixed beverages in restaurants with a food and beverage certificate,wet throughout for the sale of mixed beverages in restaurants with a food and beverage certificate,2008,Denton____Precinct 6,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Ellis,NA,NA,Midlothian,NA,6-Nov-07,legal sale of beer and wine for off-premises consumption only.,passed,1468,1425,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption.,2008,Ellis___Midlothian_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Ellis,NA,NA,Midlothian,NA,6-Nov-07,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,1823,1068,dry,wet,NA,wet for the sale of mixed beverages in restaurants with a food and beverage certificate.,2008,Ellis___Midlothian_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Hale,NA,NA,Plainview,NA,6-Nov-07,"legal sale of all alcoholic beverages, including mixed beverages.",passed,2302,2266,dry,wet,NA,wet for the sale of all alcoholic beverages including mixed beverages.,2008,Hale___Plainview_,legal sale of all alcoholic beverages including mixed beverages,0,0,1,1,0,1,0
Hale,Lubbock,NA,Abernathy,NA,6-Nov-07,legal sale of beer and wine.,failed,313,400,dry,dry,NA,NA,2008,Hale_Lubbock__Abernathy_,legal sale of beer and wine,0,1,0,0,0,1,0
Hardin,NA,NA,Lumberton,NA,6-Nov-07,for or against legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,failed,1045,1130,dry,dry,dry in parts for the sale of mixed beverages in restaurants,dry throughout for the sale of mixed beverages in restaurants,2008,Hardin___Lumberton_,for or against legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,1,0,0,0,0,0,0
Hardin,NA,NA,Lumberton,NA,6-Nov-07,for or against legal sale of beer and wine for off- premises consumption only.,failed,907,1255,dry,dry,dry in parts for the sale of sale of beer and wine for off-premise consumption,dry throughout for the sale of sale of beer and wine for off-premise consumption,2008,Hardin___Lumberton_,for or against legal sale of beer and wine for off- premises consumption only.,1,0,0,0,0,0,0
Hardin,NA,NA,Lumberton,NA,6-Nov-07,"for or against the legal sale of all alcoholic beverages, including mixed beverages.",failed,941,1240,dry,wet,"wet in parts for the sale of all alcoholic beverages, including mixed beverages",NA,2008,Hardin___Lumberton_,"for or against the legal sale of all alcoholic beverages, including mixed beverages.",1,0,0,0,0,0,0
Hays,NA,NA,Wimberley,NA,6-Nov-07,legal sale of beer and wine for off-premises consumption only.,passed,565,206,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption.,2008,Hays___Wimberley_,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Houston,NA,NA,NA,NA,6-Nov-07,legal sale of beer and wine for off-premises consumption only.,passed,2502,2009,dry,wet,NA,wet for the sale of beer and wine for off-premises consumption.,2008,Houston____,legal sale of beer and wine for off-premises consumption only,0,1,0,0,1,0,0
Houston,NA,NA,NA,NA,6-Nov-07,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,2537,1947,dry,wet,NA,wet for the sale of mixed beverages in restaurants with a food and beverage certificate.,2008,Houston____,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Jackson,NA,NA,Edna,NA,6-Nov-07,legal sale of mixed beverages in restaurants by food and beverage certificate holders only.,passed,396,94,wet,wet,beer and wine,wet for the sale of mixed beverages in restaurants with a food and beverage certificate.,2008,Jackson___Edna_,legal sale of mixed beverages in restaurants by food and beverage certificate holders only,0,0,1,0,0,0,1
Mills,NA,NA,NA,NA,6-Nov-07,legal sale of all alcoholic beverages for off-premises consumption only.,failed,588,872,wet,wet,wet in parts for the sale of all alcoholic beverages,wet in parts for the sale of all alcoholic beverages,2008,Mills____,legal sale of all alcoholic beverages for off-premises consumption only,0,0,1,1,1,0,0
Palo Pinto,NA,NA,NA,Precinct 2,6-Nov-07,legal sale of beer.,passed,85,54,wet,wet,all alcoholic beverages for off-premises consumption,wet throughout for the sale of beer for both on and off-premises consumption.,2008,Palo Pinto____Precinct 2,legal sale of beer,0,1,0,0,0,1,0
